"id","car_maker"
232608605,"Audi"
231594242,"Audi"
233023684,"Audi"
230682630,"Audi"
228976632,"Audi"
233443934,"Audi"
231313544,"Audi"
233456357,"Audi"
230482156,"Audi"
233420293,"Audi"
232879047,"Audi"
231923822,"Audi"
231919262,"Audi"
229930192,"Audi"
228842861,"Audi"
228761610,"Audi"
231411424,"Audi"
233443891,"Audi"
233086343,"Audi"
232514846,"Audi"
230683090,"Audi"
233443862,"Audi"
223290986,"Audi"
228725650,"Audi"
232051454,"Audi"
232815672,"Audi"
225344838,"Audi"
233443881,"Audi"
233026864,"Audi"
232375078,"Audi"
230357789,"Audi"
229860294,"Audi"
232926749,"Audi"
233443865,"Audi"
233250093,"Audi"
233329076,"Audi"
233043123,"Audi"
232745131,"Audi"
232603340,"Audi"
232113630,"Audi"
232073899,"Audi"
226609330,"Audi"
232925957,"Audi"
230685266,"Audi"
233352024,"Audi"
232175089,"Audi"
224604760,"Audi"
221900522,"Audi"
230247971,"Audi"
224816674,"Audi"
224706437,"Audi"
231766360,"Audi"
233248167,"Audi"
233118710,"Audi"
231200640,"Audi"
233443966,"Audi"
233443909,"Audi"
232318408,"Audi"
222503590,"Audi"
233443958,"Audi"
233415428,"Audi"
232750047,"Audi"
233443943,"Audi"
232910680,"Audi"
225210326,"Audi"
232514500,"Audi"
229343084,"Audi"
232037579,"Audi"
233300019,"Audi"
233086447,"Audi"
232824287,"Audi"
232335821,"Audi"
231569250,"Audi"
233446917,"Audi"
233070065,"Audi"
233443928,"Audi"
233443922,"Audi"
232712315,"Audi"
232329906,"Audi"
230254342,"Audi"
229159468,"Audi"
233561592,"Audi"
232742374,"Audi"
230808656,"Audi"
232614038,"Audi"
233254633,"Audi"
233080180,"Audi"
233443954,"Audi"
233427286,"Audi"
233443907,"Audi"
233351162,"Audi"
225041887,"Audi"
233355266,"Audi"
233320537,"Audi"
233239878,"Audi"
231690090,"Audi"
226112967,"Audi"
231948660,"Audi"
231048322,"Audi"
233208197,"Audi"
233364314,"Audi"
232809824,"Audi"
232807173,"Audi"
233358074,"Audi"
224118924,"Audi"
233443874,"Audi"
233252344,"Audi"
232023980,"Audi"
232151745,"Audi"
231717767,"Audi"
232507876,"Audi"
231079594,"Audi"
227857298,"Audi"
233515208,"Audi"
233443850,"Audi"
233348714,"Audi"
233309939,"Audi"
191151061,"Audi"
232668761,"Audi"
232303110,"Audi"
233468614,"Audi"
232607483,"Audi"
231618178,"Audi"
233028515,"Audi"
232809507,"Audi"
231651428,"Audi"
233419960,"Audi"
232366845,"Audi"
228068491,"Audi"
230246072,"Audi"
232812339,"Audi"
232420881,"Audi"
232959234,"Audi"
230190475,"Audi"
225874897,"Audi"
232422131,"Audi"
232371202,"Audi"
227903148,"Audi"
231799838,"Audi"
232737461,"Audi"
232314063,"Audi"
226612103,"Audi"
233477932,"Audi"
232924318,"Audi"
232062055,"Audi"
